id,name,dob,batting_hand_id,bowling_skill_id,country_id
251,C Madan,15-Oct-82,2,,1
252,AG Paunikar,18-Apr-88,2,,1
253,MR Marsh,20-Oct-91,2,1,5
254,AJ Finch,17-Nov-86,2,7,5
255,STR Binny,3-Jun-84,2,1,1
256,Harmeet Singh,7-Sep-92,1,7,1
257,IR Jaggi,27-Jan-89,2,4,1
258,DT Christian,4-May-83,2,3,5
259,RV Gomez,16-Oct-85,2,1,1
260,MA Agarwal,16-Feb-91,2,,1
261,AUK Pathan,17-Jun-84,2,1,1
262,UBT Chand,26-Mar-93,2,2,1
263,DJ Jacobs,4-Nov-82,2,1,2
264,Sunny Singh,18-Dec-86,2,5,1
265,NJ Rimmington,11-Nov-82,2,3,5
266,AL Menaria,29-Oct-90,1,7,1
267,WD Parnell,30-Jul-89,1,9,2
268,JJ van der Wath,10-Jan-78,2,5,2
269,R Ninan,19-Nov-85,2,2,1
270,S Aravind,8-Apr-84,1,9,1
271,MS Wade,26-Dec-87,1,1,5
272,TD Paine,8-Dec-84,2,1,5
273,SB Wagh,9-Oct-88,1,9,1
274,AC Thomas,9-Feb-77,2,3,10
275,JEC Franklin,7-Nov-80,1,13,4
276,Shakib Al Hasan,24-Mar-87,1,7,11
277,DH Yagnik,22-Jun-83,1,,1
278,S Randiv,30-Jan-85,2,2,7
279,BJ Haddin,23-Oct-77,2,,5
280,NLTC Perera,3-Apr-89,1,5,7
281,NL McCullum,1-Sep-80,2,2,4
282,JE Taylor,22-Jun-84,2,11,4
283,J Syed Mohammad,3-Jun-83,1,7,1
284,RN ten Doeschate,30-Jun-80,2,5,12
285,TR Birt,9-Dec-81,1,1,5
286,AG Murtaza,1-Jan-90,1,7,1
287,Harpreet Singh,11-Aug-91,1,1,1
288,M Klinger,4-Jul-80,2,,5
289,AC Blizzard,27-Jun-84,1,13,5
290,I Malhotra,23-May-84,2,5,1
291,L Ablish,3-Dec-82,2,5,1
292,CA Ingram,3-Jul-85,1,10,2
293,S Nadeem,12-Aug-89,2,7,1
294,P Parameswaran,30-May-85,2,13,1
295,CJ Ferguson,21-Nov-84,2,1,5
296,VR Aaron,29-Oct-89,2,11,1
297,AA Chavan,28-Oct-85,1,7,1
298,ND Doshi,6-Oct-78,2,7,1
299,B Kumar,5-Feb-90,2,1,1
300,Y Gnaneswara Rao,25-Aug-84,2,1,1
301,S Rana,18-Sep-84,2,5,1
302,BA Bhatt,13-May-90,1,7,1
303,F du Plessis,13-Jul-84,2,10,2
304,RE Levi,14-Jan-88,2,1,2
305,GJ Maxwell,14-Oct-88,2,2,5
306,SPD Smith,2-Jun-89,2,4,1
307,MN Samuels,5-Feb-81,2,2,8
308,SA Yadav,14-Sep-90,2,2,1
309,KK Cooper,16-Feb-89,2,1,8
310,JP Faulkner,29-Apr-90,2,6,5
311,HV Patel,23-Nov-90,2,1,1
312,DAJ Bracewell,28-Sep-90,2,3,4
313,DJ Harris,31-Dec-79,2,1,5
314,Ankit Sharma,20-Apr-91,1,7,1
315,SP Narine,26-May-88,1,2,8
316,GB Hogg,6-Feb-71,1,8,5
317,RR Bhatkal,1-Sep-85,2,1,1
318,CJ McKay,20-Feb-83,2,3,5
319,N Saini,28-Oct-88,2,,1
320,DA Miller,10-Jun-89,1,2,2
321,Azhar Mahmood,28-Feb-75,2,3,6
322,P Negi,6-Jan-93,1,7,1
323,RJ Peterson,4-Aug-79,1,7,2
324,KMDN Kulasekara,22-Jul-82,2,3,7
325,A Ashish Reddy,24-Feb-91,2,1,1
326,V Pratap Singh,3-May-92,2,1,1
327,BB Samantray,14-Dec-88,2,,1
328,MJ Clarke,2-Apr-81,2,7,5
329,Gurkeerat Singh,29-Jun-90,2,2,1
330,AP Majumdar,30-Apr-84,2,4,1
331,PA Reddy,11-Feb-91,2,10,1
332,K Upadhyay,18-Jun-86,2,1,1
333,P Awana,19-Jul-86,2,1,1
334,AD Russell,29-Apr-88,2,11,8
335,A Chandila,5-Dec-83,2,2,1
336,CA Lynn,10-Apr-90,2,7,5
337,Sunny Gupta,27-Sep-88,2,2,1
338,MC Juneja,12-Sep-90,2,2,1
339,KK Nair,6-Dec-91,2,2,1
340,GH Vihari,13-Oct-93,2,2,1
341,MDKJ Perera,17-Aug-90,1,,7
342,R Shukla,28-Aug-90,2,1,1
343,B Laughlin,3-Oct-82,2,3,5
344,AS Rajpoot,4-Dec-93,2,1,1
345,M Vohra,18-Jul-93,2,1,1
346,JD Unadkat,18-Oct-91,2,13,1
347,Mohammed Shami,3-Sep-90,2,3,1
348,BMAJ Mendis,15-Jan-83,1,10,7
349,R Rampaul,15-Oct-84,1,3,8
350,CH Morris,30-Apr-87,2,3,2
351,SV Samson,11-Nov-94,2,,1
352,SMSM Senanayake,9-Feb-85,2,2,7
